es,it,Alignment Score
rio,fiume,0.6666666666666667
resuelto,risoluto,0.33333333333333337
excentrico,eccentrico,0.09333333333333338
exotico,esotico,0.13333333333333341
hermeneutica,ermeneutica,0.012121212121212088
escatologico,escatologico,0.0
necesario,necessario,0.014814814814814725
clima,tempo atmosferico,0.6933333333333334
metodico,metodico,0.0
sublime,sublime,0.0
vocabulario,vocabolario,0.08484848484848484
probatorio,probatorio,0.0
consecuencia,conseguenza,0.17575757575757578
casual,casuale,0.022222222222222143
subjetivo,soggettivo,0.2962962962962963
prejuicio,pregiudizio,0.22962962962962974
inconmensurable,incommensurabile,0.07111111111111112
madurez,scadenza,0.4
condolencias,condoglianze,0.28888888888888886
activista,attivista,0.10370370370370374
voz,voce,0.33333333333333337
inexorable,inesorabile,0.1066666666666668
desaparecido,andato,0.5111111111111111
integridad,integrita,0.11851851851851858
poco escrupuloso,senza scrupoli,0.43333333333333324
habito,abitudine,0.3333333333333335
consideracion,considerazione,0.08205128205128198
apendice,apice,0.053333333333333344
idilico,idilliaco,0.03809523809523818
jubilo,giubilo,0.16666666666666663
remision,remissione,0.033333333333333326
extension,estensione,0.11851851851851858
amistad,amicizia,0.38095238095238093
incipiente,nascente,0.2416666666666667
de acuerdo,ok,0.7333333333333334
meta,obiettivo,0.55
urgir,sollecitare,0.6133333333333333
accion,azione,0.30000000000000004
abstenerse,astenersi,0.11851851851851858
etnicidad,etnia,0.08000000000000007
afirmar,reclamo,0.6095238095238096
altruismo,altruismo,0.0
diseno,progetto,0.6000000000000001
incontinencia,incontinenza,0.08333333333333337
exencion,esenzione,0.25
gracia,adornare,0.6000000000000001
quimera,chimera,0.24761904761904763
hoy en dia,al giorno d'oggi,0.4866666666666667
bocadillos,munchies,0.5666666666666667
provisionado,fornito,0.5523809523809524
monotono,monotono,0.0
personificacion,personificazione,0.07111111111111101
odiar,odio,0.25
malo,cattivo,0.5166666666666666
utilidad,disponibilita,0.4833333333333334
escrutinio,scrutinio,0.014814814814814725
adyacente,adiacente,0.10370370370370374
voluntad,volere,0.44444444444444453
pragmatico,pragmatico,0.0
interurbano,interurbano,0.0
independiente,indipendente,0.08888888888888902
semejante,come,0.5333333333333334
audacia,audacia,0.0
cuyo,di chi,0.6833333333333333
mutual,reciproco,0.8555555555555556
camino,sentiero,0.5888888888888888
solemne,solenne,0.13333333333333341
adorno,ornamento,0.3222222222222223
cronograma,programma,0.2148148148148148
beneficencia,beneficenza,0.09090909090909083
mofa,beffa,0.45000000000000007
inescrutable,imperscrutabile,0.10555555555555551
coercion,coercizione,0.04166666666666663
antagonista,antagonista,0.0
a traves de,attraverso,0.2799999999999999
discurso,discorso,0.1166666666666667
superfluo,superfluo,0.0
diseminar,diffondere,0.4814814814814815
indolencia,indolenza,0.11111111111111116
cognitivo,cognitivo,0.0
malo,cattivo,0.5166666666666666
esperanza,speranza,0.016666666666666607
susceptible,suscettibile,0.09696969696969704
intervencion,intervento,0.11333333333333329
casualidad,serendipita,0.6
identificacion,identificazione,0.07619047619047614
adecuado,adatto,0.3222222222222223
cosecha,raccolto,0.6095238095238096
murmuracion,maldicenza,0.52
felicidades,congratulazioni,0.6424242424242425
sadico,sadico,0.0
talarico,talarico,0.0
eran,erano,0.033333333333333326
promesa,impegno,0.6095238095238096
torpe,goffo,0.6799999999999999
consolidar,consolidare,0.013333333333333308
fomentar,fomentare,0.016666666666666607
insignificante,insignificante,0.0
naturaleza,natura,0.05555555555555558
demasiado,troppo,0.7222222222222223
ganar,guadagnare,0.10666666666666669
situacion,situazione,0.11851851851851858
prerrogativa,prerogativa,0.012121212121212088
concesionario,concessionario,0.01025641025641022
dengo,dengo,0.0
accesibilidad,accessibilita,0.1435897435897434
prosperidad,prosperita,0.10666666666666669
para,per,0.3555555555555556
ala,ala,0.0
pusilanimidad,pusillanimita,0.1435897435897434
uno,uno,0.0
liberar,pubblicazione,0.5523809523809524
singular,singolare,0.13333333333333341
candor,candore,0.022222222222222143
surgir,emergere,0.47777777777777775
saber,sapere,0.21333333333333326
exito,successo,0.56
insignificante,trascurabile,0.5777777777777777
indiferencia,indifferenza,0.1499999999999999
