pt,ro,Alignment Score
rio,rau,0.5777777777777777
resoluto,hotarat,0.6190476190476191
excentrico,excentric,0.014814814814814725
exotico,exotic,0.022222222222222143
hermeneutica,hermeneutica,0.0
escatologico,eshatologic,0.09696969696969693
necessario,necesar,0.04761904761904767
intemperie,vreme,0.42666666666666664
metodico,metodic,0.01904761904761898
sublime,sublim,0.022222222222222143
vocabulario,vocabular,0.022222222222222143
comprobatorio,probatorie,0.11999999999999988
consequencia,consecinta,0.18666666666666665
casual,casual,0.0
subjetivo,subiectiv,0.20740740740740748
preconceito,prejudecata,0.4666666666666668
incomensuravel,nemasurata,0.3866666666666666
maturidade,maturitate,0.18666666666666676
pesames,condoleante,0.5523809523809524
ativista,activist,0.1166666666666667
voz,voce,0.33333333333333337
inexoravel,inexorabil,0.17333333333333334
ido,plecat,0.9111111111111111
integridade,integritate,0.1696969696969698
inescrupuloso,lipsit de scrupule,0.3025641025641026
habito,obicei,0.5777777777777777
consideracao,considerare,0.16363636363636347
apice,apex,0.25
idilico,idilic,0.022222222222222143
jubilo,jubilare,0.1777777777777777
remissao,iertare,0.6
extensao,extensie,0.21666666666666667
amizade,prietenie,0.6190476190476191
incipiente,incipient,0.014814814814814725
vale,bine,0.6333333333333333
finalidade,poarta,0.6333333333333333
exortar,indemn,0.7111111111111111
acao,actiune,0.4833333333333334
abster,se abtine,0.34444444444444444
etnia,etnie,0.18666666666666676
reivindicacao,revendicare,0.2606060606060606
altruismo,altruism,0.016666666666666607
designio,proiecta,0.7250000000000001
incontinencia,incontinenta,0.08333333333333337
isencao,scutire,0.6
graca,gratie,0.36
quimera,himera,0.16666666666666663
hodiernamente,in zilele de azi,0.6051282051282052
larica,gustari,0.4444444444444444
aprovisionado,furnizate,0.6074074074074074
monotono,monoton,0.01904761904761898
personificacao,personificare,0.1384615384615382
odio,ura,0.8666666666666667
ruim,rau,0.33333333333333337
prestatividade,utilitate,0.45185185185185184
escrutinio,examinare,0.5703703703703704
adjacente,adiacent,0.13333333333333341
ira,voi,0.5777777777777777
pragmatico,pragmatic,0.014814814814814725
intermunicipal,intercity,0.23703703703703694
independente,independent,0.012121212121212088
tal,astfel de,0.4666666666666667
audacia,indrazneala,0.5428571428571429
cujo,a caror,0.5166666666666666
mutuo,reciproc,0.72
vereda,cale,0.6833333333333333
solene,solemn,0.15555555555555556
adorno,podoaba,0.5888888888888889
pauta,programa,0.4
beneficencia,binefacere,0.3733333333333333
escarnio,bataie de joc,0.5833333333333333
inescrutavel,inscrutabil,0.1696969696969698
coercitividade,constrangere,0.48888888888888893
antagonista,antagonist,0.013333333333333308
mediante,prin,0.5333333333333334
discorrer,discurs,0.2761904761904763
superfluo,de prisos,0.5777777777777777
disseminar,diseminati,0.17999999999999994
indolencia,indolenta,0.11111111111111116
cognitivo,cognitive,0.10370370370370374
mau,rau,0.3111111111111112
esperanca,speranta,0.13333333333333341
suscetivel,susceptibil,0.18666666666666676
intervencao,interventie,0.23030303030303023
serendipidade,noroc,0.7866666666666666
identificacao,identificare,0.1499999999999999
idoneo,potrivit,0.7222222222222222
seara,recolta,0.5333333333333333
maledicencia,murmurarea,0.52
felicitacoes,felicitari,0.18666666666666665
sadico,sadic,0.026666666666666727
talarico,talaric,0.01904761904761898
fosse,au fost,0.3866666666666667
penhor,angajament,0.6222222222222222
torpe,neindemanatic,0.7866666666666666
consolidar,consolida,0.014814814814814725
fomentar,fomenteaza,0.1333333333333333
insignificante,nesemnificativ,0.319047619047619
indole,natura,0.7
demasiadamente,prea mult,0.5333333333333333
auferir,castiga,0.6190476190476191
conjuntura,situatie,0.55
prerrogativa,prerogativa,0.012121212121212088
concessionaria,concesionar,0.030303030303030276
dengo,dengo,0.0
acessibilidade,accesibilitate,0.19999999999999984
prosperidade,prosperitate,0.15555555555555545
for,pentru,0.6666666666666667
asa,aripa,0.3555555555555556
pusilanimidade,frica,0.6666666666666667
uma,unu,0.5777777777777777
deliberacao,eliberare,0.21481481481481468
singular,singular,0.0
candura,candoare,0.2666666666666666
emergir,apar,0.6833333333333333
saber,a sti,0.6799999999999999
exito,succes,0.6933333333333334
mesquinho,mic,0.4666666666666667
indiferenca,indiferenta,0.08484848484848473
