fr,gl,Alignment Score
ajuster,encaixar,0.6
sauf,excepto,0.8833333333333334
expression,expresion,0.014814814814814725
extraterrestre,alleo,0.6533333333333333
solidarite,solidariedade,0.11333333333333317
la diffusion,difusion,0.04999999999999993
principalement,principalmente,0.06666666666666665
complaisance,compracencia,0.3555555555555555
despote,despota,0.13333333333333341
adhesion,adhesion,0.0
perseverant,perseverante,0.012121212121212088
but,obxectivo,0.48888888888888893
ton,teu,0.5777777777777777
eminent,eminente,0.01904761904761898
agile,axil,0.2666666666666667
alterite,alteridade,0.1333333333333333
cellule,celula,0.1777777777777778
etablir,establecer,0.17142857142857149
affronter,cara,0.5333333333333334
premisse,premisa,0.1428571428571429
remettre a plus tard,procrastinar,0.4222222222222223
beneplacito,beneplacito,0.0
intense,intenso,0.13333333333333341
ainsi,polo tanto,0.6
opportunite,oportunidade,0.1696969696969698
probleme,problema,0.1166666666666667
peut-etre,quizais,0.7428571428571429
faire,facer,0.36
controverse,polemica,0.6666666666666667
zele,celo,0.4666666666666667
iniquite,iniquidade,0.1333333333333333
dissemination,difusion,0.2583333333333334
il avait,tina,0.5333333333333334
douleur,dor,0.11111111111111116
panache,garbo,0.72
detaille,detallado,0.2333333333333334
amalgame,amalgama,0.1166666666666667
survenant,supervindo,0.4
litteralement,literalmente,0.08888888888888902
potentialite,potencialidade,0.16666666666666652
volatil,volatil,0.0
ambition,ambicion,0.1166666666666667
lumiere,luz,0.4
magnifique,fermoso,0.6285714285714286
sinon,en caso contrario,0.5333333333333333
passant,transeunte,0.4285714285714286
generosite,xenerosidade,0.19999999999999996
excuse,escusa,0.3111111111111112
superficiel,superficial,0.08484848484848473
aveugle,indiscriminado,0.780952380952381
femme,muller,0.5333333333333333
a travers,a traves,0.016666666666666607
obstacle,obstaculo,0.13333333333333341
magnificence,magnificencia,0.08333333333333337
consolidation,consolidacion,0.07179487179487176
ecume,escoria,0.5466666666666667
factuel,factual,0.13333333333333341
incidence,incidencia,0.11111111111111116
cible,obxectivo,0.5866666666666667
ils sont,eles son,0.2333333333333334
ambitieux,ambicioso,0.3851851851851852
resilience,resiliencia,0.09999999999999987
insipide,insipido,0.1166666666666667
gay,gai,0.3111111111111111
tamis,peneira,0.7066666666666667
ascendance,ascendencia,0.19333333333333336
encore,ainda,0.7066666666666668
honnetete,honestidade,0.3037037037037038
affectation,asignacion,0.42666666666666664
providence,providencia,0.09999999999999987
peremptoire,perentorio,0.2799999999999999
ambiguite,ambiguidade,0.11851851851851847
incommode,inconveniente,0.40000000000000013
resolution,resolucion,0.09333333333333338
soutien,apoiar,0.6000000000000001
pratique,conveniente,0.6499999999999999
contradiction,contradicion,0.011111111111111072
frivole,frivolo,0.13333333333333341
telecommande,remoto,0.6333333333333333
procrastination,procrastinacion,0.06222222222222218
misericorde,misericordia,0.09090909090909083
accent,acento,0.15555555555555556
histoire,historia,0.22499999999999998
bonjour,ola,0.6888888888888889
imprescriptible,imprescriptible,0.0
speculation,especulacion,0.09696969696969704
inherent,inherente,0.016666666666666607
pernicieux,perniciosa,0.2533333333333333
essentiel,esencial,0.25
vie,vida,0.33333333333333337
apathique,apatico,0.2761904761904761
reciproque,reciproco,0.19999999999999996
scrupule,escrupulo,0.13333333333333341
mais,pero,0.8333333333333334
spontaneite,espontaneidade,0.1090909090909089
profane,profano,0.13333333333333341
negligence,neglixencia,0.19333333333333336
discriminer,discriminar,0.08484848484848473
redondance,redundancia,0.19333333333333336
ego,ego,0.0
quand,cando,0.36
inconnaissable,incognoscible,0.2717948717948717
perfidie,perfidia,0.1166666666666667
acte,actuar,0.2666666666666667
apporte,trae,0.4833333333333333
deduire,inferir,0.5047619047619047
admissible,elixibles,0.4
paria,paria,0.0
correlatif,correlacionar,0.20666666666666667
recreation,recreo,0.06666666666666665
obstacle,atranco,0.5238095238095238
depit,despecho,0.40000000000000013
insurmontable,insalvable,0.27333333333333343
obstine,obstinado,0.1523809523809524
irascible,irascible,0.0
inseparable,inseparables,0.012121212121212088
mettre a disposition,para poner a disposicion,0.23333333333333328
constitution,constitucion,0.07777777777777772
conscience,consciencia,0.09999999999999987
