it,ro,Alignment Score
adatto,potrivi,0.7111111111111111
tranne,cu exceptia,0.6333333333333333
espressione,expresie,0.15833333333333333
alieno,strain,0.4444444444444444
solidarieta,solidaritate,0.09090909090909083
diffusione,difuziune,0.2222222222222222
principalmente,in principal,0.2222222222222221
compiacimento,complezenta,0.3272727272727274
despota,despot,0.022222222222222143
appartenenza,calitatea de membru,0.538888888888889
perseverante,perseverent,0.09696969696969693
obiettivo,poarta,0.6222222222222222
tuo,ta,0.5
eminente,eminent,0.01904761904761898
agile,agil,0.033333333333333326
alterita,alteritate,0.025000000000000022
cellula,celula,0.022222222222222143
stabilire,a stabili,0.19259259259259254
viso,fata,0.8333333333333334
premessa,premisa,0.1428571428571429
procrastinare,amana,0.48
beneplacito,beneplacito,0.0
intenso,intens,0.022222222222222143
quindi,prin urmare,0.6333333333333333
opportunita,oportunitate,0.09090909090909083
problema,problema,0.0
forse,poate,0.5333333333333333
fare,a face,0.2833333333333333
controversia,controversa,0.012121212121212088
zelo,zel,0.04444444444444451
iniquita,nelegiuirea,0.3666666666666667
diffusione,diseminare,0.3466666666666668
lui aveva,el a avut,0.4814814814814815
dolore,durere,0.42222222222222217
brio,pompon,0.6833333333333333
dettagliato,detaliat,0.050000000000000155
amalgama,amalgam,0.01904761904761898
sopravvenuto,supravenind,0.32727272727272716
letteralmente,literalmente,0.08333333333333337
potenzialita,potentialitate,0.09444444444444444
volatile,volatil,0.01904761904761898
ambizione,ambitie,0.16190476190476188
leggero,usoara,0.711111111111111
bellissimo,superba,0.7428571428571429
altrimenti,in caz contrar,0.62
passante,trecator,0.625
generosita,generozitate,0.11333333333333329
scusa,scuza,0.18666666666666676
superficiale,superficial,0.012121212121212088
indiscriminato,nediscriminatoriu,0.08571428571428563
donna,femeie,0.8400000000000001
attraverso,prin,0.7666666666666667
ostacolo,obstacol,0.1166666666666667
magnificenza,maretie,0.4285714285714286
consolidamento,consolidare,0.1090909090909089
feccia,gunoi,0.6933333333333334
effettivo,faptice,0.5238095238095238
incidenza,incidenta,0.10370370370370374
bersaglio,tinta,0.7333333333333334
sono,sunt,0.4666666666666667
ambizioso,ambitios,0.13333333333333341
resilienza,rezistenta,0.3533333333333334
insapore,lipsit de gust,0.5916666666666666
gay,gay,0.0
setaccio,sita,0.31666666666666676
ascendenza,origine,0.638095238095238
ancora,inca,0.2833333333333333
onesta,onestitate,0.06666666666666665
incarico,misiune,0.6190476190476191
provvidenza,providenta,0.1066666666666668
perentorio,peremptorie,0.19333333333333336
ambiguita,ambiguitate,0.022222222222222143
sconveniente,incomod,0.6571428571428571
risoluzione,rezolutie,0.31851851851851853
supporto,a sustine,0.55
conveniente,convenabil,0.2666666666666667
contraddizione,contradictie,0.16666666666666652
frivolo,frivol,0.022222222222222143
a distanza,la distanta,0.1066666666666668
indugio,procrastinare,0.6571428571428571
misericordia,mila,0.3666666666666667
accento,accent,0.022222222222222143
storia,poveste,0.5777777777777777
ciao,buna ziua,0.55
imprescrittibile,imprescriptibil,0.07111111111111101
speculazione,speculatie,0.11333333333333329
inerente,inerent,0.01904761904761898
pernicioso,pernicios,0.014814814814814725
essenziale,esential,0.15000000000000002
vita,viata,0.033333333333333326
apatico,apatic,0.022222222222222143
reciproco,reciproc,0.016666666666666607
scrupolo,scrupul,0.1523809523809525
ma,dar,0.5333333333333334
spontaneita,spontaneitate,0.018181818181817966
profano,profan,0.022222222222222143
negligenza,neglijenta,0.18666666666666676
discriminare,deosebi,0.5428571428571429
ridondanza,redundanta,0.2799999999999999
ego,ego-ul,0.08888888888888902
quando,cand,0.2833333333333333
inconoscibile,de necunoscut,0.4666666666666667
perfidia,perfidie,0.1166666666666667
atto,act,0.33333333333333337
porta,aduce,0.6666666666666667
dedurre,deduce,0.16666666666666663
idoneo,eligibil,0.7222222222222222
paria,paria,0.0
correlare,corela,0.05555555555555558
recesso,pauza,0.8533333333333334
ostacolo,impiedicare,0.7583333333333334
dispetto,ciuda,0.72
insormontabile,de netrecut,0.6363636363636364
ostinato,incapatanat,0.45000000000000007
irascibile,irascibil,0.014814814814814725
inseparabile,de nedespartit,0.4555555555555556
mettere a disposizione,a pune la dispozitie,0.34666666666666657
costituzione,constitutie,0.17575757575757578
coscienza,constiinta,0.31851851851851853
