pt,gl,Alignment Score
avido,en directo,0.5866666666666667
dadiva,agasallo,0.6
bom,bo,0.06666666666666676
relativizar,relativizar,0.0
pressa,presa,0.026666666666666727
paradigma,paradigma,0.0
contraditorio,contraditorio,0.0
privilegio,privilexio,0.09333333333333338
sanar,curar,0.5066666666666666
pose,pose,0.0
cla,clan,0.04444444444444451
conceito,concepto,0.1166666666666667
era,foi,0.8444444444444444
outrem,alguen mais,0.5111111111111112
fraternidade,fraternidade,0.0
intercorrencia,intercorrencia,0.0
concepcao,deseno,0.6000000000000001
ininterrupto,ininterrompido,0.16666666666666652
aferir,avaliar,0.4444444444444444
cinismo,cinismo,0.0
comportamento,comportamento,0.0
vigor,forza,0.52
termo,termo,0.0
remanejamento,traslado,0.4916666666666667
jaz,mentiras,0.7333333333333334
supracitado,mencionado anteriormente,0.5454545454545456
des,dar,0.5777777777777777
resplandecente,resplandeciente,0.00952380952380949
digno,digno,0.0
plausivel,plausible,0.19999999999999996
amo,encantame,0.4666666666666667
morbido,morboso,0.24761904761904763
relevancia,relevancia,0.0
logo,en breve,0.9
cia,cia,0.0
autenticidade,autenticidade,0.0
refletir,reflexo,0.2571428571428571
anatema,anatema,0.0
presuncoso,presuntuoso,0.09999999999999998
ocio,lecer,0.6833333333333333
prole,descendencia,0.7733333333333333
sonho,sono,0.033333333333333326
vigente,actual,0.7222222222222222
licenciosidade,libertinaxe,0.4181818181818183
demagogo,demagogo,0.0
saga,saga,0.0
descricao,descricion,0.11851851851851858
peculiaridade,peculiaridade,0.0
compassivo,compasivo,0.014814814814814725
misogino,misoxina,0.2333333333333334
demasiado,tamen,0.7466666666666667
inferencia,conclusion,0.5933333333333334
simplicidade,sinxeleza,0.49629629629629635
reivindicar,reclamacion,0.5333333333333334
sina,destino,0.31666666666666676
auge,pico,0.8333333333333334
erudito,erudito,0.0
fleumatico,flematico,0.014814814814814725
procedimento,procedemento,0.07777777777777772
nem,nin tampouco,0.5333333333333333
impressao,impresion,0.19999999999999996
circunspecto,circunspecto,0.0
companhia,empresa,0.5142857142857143
desenvolver,desenvolver,0.0
determinacao,determinacion,0.0888888888888888
como,como,0.0
diligente,dilixente,0.10370370370370374
ludico,xogueton,0.6111111111111112
dever,deber,0.18666666666666676
resolucao,resolucion,0.11851851851851858
vez,quenda,0.6888888888888889
labaro,labaro,0.0
constancia,constancia,0.0
tese,tese,0.0
mito,mito,0.0
ser,ser,0.0
incidente,incidente,0.0
caracterizar,caracterizar,0.0
rua,estrada,0.4222222222222223
genro,xenero,0.21333333333333326
irresponsavel,responsable,0.18181818181818177
imputar,imputar,0.0
epistemologico,epistemoloxico,0.06666666666666665
felicidade,felicidade,0.0
incumbencia,tarefa,0.6333333333333333
excelente,xenial,0.47777777777777786
nescio,non e membro,0.5
astuto,astucia,0.30000000000000016
elucubracao,elucubracion,0.09696969696969682
escopo,ambito,0.6888888888888889
auto,propio,0.6666666666666667
alem,mais alo,0.5166666666666666
inconsequente,intranscendente,0.28205128205128205
contexto,contexto,0.0
humildade,humildade,0.0
imparcial,imparcial,0.0
pro,pro,0.0
hipocrisia,hipocrisia,0.0
significado,significado,0.0
embora,ainda que,0.7222222222222222
desprendimento,desprendemento,0.06666666666666665
cota,cota,0.0
racismo,racismo,0.0
autonomia,autonomia,0.0
asseio,limpeza,0.7
indispensavel,indispensable,0.1384615384615382
remanescente,restante,0.2583333333333334
anseio,desexo,0.4444444444444444
dar,dar,0.0
sintetico,sintetica,0.10370370370370374
ate,ata que,0.11111111111111116
proeminente,destacado,0.6814814814814816
anuencia,consentimento,0.5083333333333333
concernente,referente,0.3037037037037037
implementacao,implementacion,0.08205128205128198
prolixo,longo vento,0.638095238095238
consonancia,consonancia,0.0
apologia,desculpas,0.6416666666666666
primordial,primordial,0.0
